"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","target"
-0.29582,0.63741,-1.25084,2.13375,1.19479,1.24428,0.51504,1.76264,1.13986,0.70914,0.14693,-1.1736,-0.43851,-0.27585,-1.39552,2.62959,-0.54631,0.33223,-0.35602,-2.62109,-1.91267,-0.22301,1.22925,-1.52021,-2.14697,-0.58191,-0.60867,-0.40147,-4.59132,-3.40702,2.39989,1.81237,0.97233,-0.73861,-0.86262,-2.67034,-0.49149,-1.15258,0.24605,-0.92629,-0.38945,-1.17313,0.41914,0.85718,-1.58094,-0.64475,-0.12567,-0.91073,1.05168,-1.2485,-2.0042,0.70211,-1.18413,-0.34655,-1.43293,-0.43405,-0.46608,-1.13873,0.05804,-1.26683,-0.87778,-0.22474,-0.72905,0.70584,-0.97216,0.51614,0.31555,-0.06327,-0.90651,-1.09505,0.41506,-0.33075,0.75455,0.41232,-0.69975,0.49143,-0.77609,-1.43378,1.05318,-0.63009,0.47102,0.74295,1.04242,-1.09126,-0.64746,0.04232,-0.04408,0.8671,1.37102,1.8345,0.54095,1.75331,0.0712,-0.62344,-0.8725,-0.90887,-0.91695,-0.18878,-0.3068,0.70002,1
-0.168,-0.40458,1.23772,-0.00286,0.74314,0.02964,-0.65199,1.69697,-1.06755,0.17062,-0.22901,-1.24591,0.47324,0.83093,-0.63456,2.63095,-0.33226,-0.11369,-1.89244,0.16577,-0.53122,0.73134,1.15686,0.35496,1.18224,0.23494,0.26122,-0.41338,3.15271,-0.98954,-0.80795,-0.3222,-0.18839,-0.89226,-0.11977,0.10385,-0.22779,1.04106,-0.32527,2.50048,-0.43763,-0.06256,-0.85687,-0.3977,-1.09783,-1.05257,-1.01795,-1.5039,1.70165,-0.75103,0.32021,2.24584,-0.52242,-0.55612,-1.57497,-1.75442,-0.50915,1.93294,-1.3162,0.35402,1.46482,-0.14896,-0.27358,0.06082,1.31463,-0.85171,-0.04273,-0.55593,-0.00973,-0.28685,1.42944,-0.78584,0.16373,-1.07158,0.41525,-0.54907,0.08477,0.48998,-0.68682,0.51781,0.52919,-0.68723,1.60224,0.84511,-0.69089,0.33934,-0.60413,1.01588,1.13959,-1.24437,1.34987,0.48331,2e-04,1.08384,0.79255,-0.35273,0.3557,1.84992,-3.01769,0.00812,1
0.17954,-0.40333,1.52816,-0.08952,-0.1214,0.6917,0.01405,-0.15109,0.76911,-0.05754,1.67882,0.63228,-0.22611,2.17163,1.8439,0.1227,1.13366,-1.92944,0.49057,-0.71172,-1.5941,0.04433,-0.2189,0.24833,1.7559,-0.09878,-0.80745,-1.78185,1.91395,-5.90078,2.35416,0.28213,0.07599,1.23248,2.11868,0.65111,0.88258,-0.22802,-1.13222,0.51397,0.78681,-0.22656,0.64213,0.22166,0.21031,-0.58472,1.38056,0.5905,-0.3462,0.87716,0.0041,0.64113,0.6153,0.23291,0.19097,-0.43782,1.27991,1.8778,1.62587,1.99998,1.28518,0.17933,0.26408,-0.40804,1.31985,0.90606,1.33864,-0.23998,1.20833,-1.30862,0.45728,0.34498,-0.83988,-0.18741,-0.54102,0.35628,-0.37684,-0.775,1.40941,0.98653,2.28247,0.38063,0.35605,-1.44547,0.28061,0.55503,0.43428,0.04602,-0.42073,1.59082,0.02473,-1.76738,0.47853,-1.25851,-0.04424,0.29334,1.12264,0.05989,0.45336,1.25649,1
0.42112,0.08408,1.77692,-0.25498,-0.03116,-0.6856,1.21294,-0.87238,1.1916,0.01074,1.23809,-1.75184,-2.2845,-0.65188,-0.14835,0.93855,-0.46444,0.95904,0.70176,0.62902,2.70511,0.43884,-0.57909,0.12617,-0.04479,-0.13521,-0.66643,-0.49354,4.01238,-2.28001,-3.27443,1.38654,-0.2892,0.48713,-0.39938,-0.02604,-0.62735,1.44817,-2.65117,-0.01027,-0.59857,-0.35888,-0.46902,1.94994,-0.44565,0.65599,0.97622,1.35888,-0.67623,-0.14732,-0.00953,-0.76345,-0.95854,0.52217,-0.32476,0.15617,-0.62904,0.29002,0.68599,-0.79965,0.27486,-0.07136,2.40731,0.31817,0.19964,0.85947,-1.29826,0.53975,-0.25871,-0.51939,-0.72908,-0.29891,-0.30515,0.90365,0.103,-0.23324,-1.36528,0.53005,0.90044,-1.13016,-1.18223,-1.08888,1.20993,1.88591,-0.21541,-0.70458,0.24132,1.06456,1.02232,-2.07494,-0.8263,-0.79791,-0.8351,-2.2469,-0.65629,0.37769,-0.87598,0.79072,0.44512,0.64105,1
1.67768,-0.43535,0.63117,-0.87421,-1.00303,-0.04313,1.41089,-0.86075,-0.1683,0.79019,-0.66269,0.04449,-0.6259,-0.14708,-0.18717,0.02743,0.11686,-0.57516,-0.29356,1.60941,-1.94852,2.58955,-0.52888,-1.06662,0.67774,-1.88651,0.22288,-1.12873,-4.55916,-3.76748,1.88677,-0.74561,-1.59108,0.9116,-0.24896,0.35195,1.03148,-0.25524,-1.42722,-0.89163,0.22909,-1.02408,-0.02043,-0.32016,-0.26944,1.0393,0.38554,2.0275,0.2261,-1.33326,-1.45197,0.67204,-0.31181,-1.0948,-0.01427,-0.2727,-0.37821,1.19519,-0.55242,0.42097,-1.79852,1.04882,-0.6011,-1.32451,-0.3551,0.95361,1.12487,0.43552,-0.30144,-1.2512,-0.4388,1.49689,-1.72569,0.1685,-1.98636,-0.47447,-1.17068,1.22948,-1.33701,-0.51523,-0.66256,-2.52067,-0.76628,0.84086,-1.17619,0.74764,0.01597,-1.16728,0.62984,0.92025,0.44153,1.51806,0.67562,1.3998,2.45468,-1.53799,-1.5692,-1.1692,1.79313,0.15159,1
1.99695,-0.56262,0.08326,0.42293,-1.03805,-1.54765,0.08653,-1.05234,0.70566,-0.00195,-1.99322,-0.77076,0.16739,-0.37499,0.15545,0.01817,0.01382,0.95288,-0.58683,0.72016,-1.20532,1.12087,0.68159,-1.68425,-0.19687,-1.48901,2.23937,1.69955,-0.0163,-4.47285,0.28885,-0.56587,0.39117,-0.63433,-0.56024,-1.83762,-0.54229,0.70823,0.81375,0.04079,-1.58671,-0.61309,-0.97233,1.05424,-1.1721,-0.71597,-0.53947,-0.63876,-0.50785,0.6387,2.04592,0.31748,0.21773,0.00172,0.15958,0.91612,-0.26667,0.49466,-1.47678,-0.5682,-0.53944,-1.39646,-0.03163,-1.45592,-0.172,0.22561,-0.26486,-1.45447,0.78941,-1.7836,-1.57365,-0.7287,2.00583,-0.46079,1.35774,-0.97835,0.40124,-0.68083,0.76931,-0.04279,-1.36965,-0.93443,0.99944,0.12748,-0.03386,-1.04837,0.58272,0.97052,0.35451,0.26518,0.14259,-2.22056,0.06708,-0.45191,0.39411,0.874,0.50689,0.29038,-0.22285,0.00015,1
0.69696,0.87806,2.14004,-0.1334,0.62858,-1.07181,2.54535,-0.64627,-1.53267,-0.74894,-2.23846,2.23293,-0.02053,2.13036,1.85405,-0.29611,-0.64926,-0.0327,-1.22674,-0.19324,-0.99009,0.779,-0.04973,1.28451,1.08694,0.14832,-0.49862,-1.18091,5.27463,-1.93833,-0.02654,-0.66717,1.21988,1.65586,-0.10502,-1.56306,0.00141,-0.98987,1.87631,-2.08576,-1.29803,-0.08222,0.31909,0.23079,0.12766,-0.18834,1.69453,-0.65158,-1.79332,0.59911,1.18115,-0.14116,0.00544,-0.65286,-0.24011,0.28122,1.32639,0.5399,0.14739,-0.56595,0.77759,-1.76012,-2.09113,0.73406,-0.09141,-1.49655,-1.21894,-1.12769,0.34953,0.82804,-2.2375,1.44822,0.59911,-0.20836,-0.12538,-0.88273,-0.10551,-0.02148,0.62588,0.82807,-0.51995,-0.20476,1.67033,-0.85874,-1.09806,-0.88567,-1.38891,0.70882,0.74317,-0.63578,-1.57261,-0.90221,0.0854,0.22098,-0.77583,1.72444,0.49575,0.99852,-0.06853,0.91133,1
-1.36638,-0.81465,1.26347,0.53958,0.86781,-0.22109,-0.08576,-2.2092,0.87279,-0.79861,-0.86082,-0.09554,-1.00876,0.69413,-2.27907,-1.39341,1.14972,-0.01641,3.01945,-1.73878,0.49602,1.39864,-0.67784,-0.76232,0.78593,0.95391,0.55337,0.68238,2.2061,2.34787,1.18109,-0.60078,0.42503,-1.6326,-0.59845,0.38631,-0.51932,0.4346,0.85286,-1.2302,0.1015,2.95836,-0.06768,2.05819,1.04112,0.77257,0.64291,1.2643,1.25278,-0.51025,0.69029,0.52011,0.61244,-0.59494,-0.95725,-0.90241,0.87172,-0.25958,-0.41864,3.26589,0.79203,1.21259,-0.09366,-0.86181,-0.26084,-1.06001,0.2216,0.08785,0.27426,0.58316,1.54449,0.28076,-0.92929,-0.51236,-0.6877,-0.1241,-0.69407,-0.81968,-0.49414,-1.5071,-0.55065,0.12672,0.75257,-0.95018,0.59449,0.09098,1.60364,0.68874,0.63059,1.95263,-0.40507,-1.59236,-0.37029,0.03571,0.91158,0.17036,-0.56049,-0.19221,1.38165,-0.03093,1
0.36305,-0.25836,-1.75065,0.87517,2.07175,-1.67577,1.28683,0.4089,-1.79856,1.46481,-2.12718,1.13847,-0.07366,0.15747,-0.66604,-1.74184,1.40727,-0.56771,1.60926,-1.26911,0.65299,1.59301,2.25332,-1.17484,-0.70671,2.29319,-0.34541,1.77414,-1.96724,-5.0871,1.38916,-0.02755,1.19118,-0.43946,2.8882,-2.04504,-0.00679,0.21766,0.39197,0.18811,-0.57439,0.9643,-0.82418,0.74175,1.28275,1.29752,-0.70193,0.25541,0.68456,2.32769,0.15567,0.48699,-0.58727,0.12073,-0.80061,0.48807,1.31043,-0.06974,2.41346,-0.81893,-1.10394,-1.14202,-1.04598,0.53534,0.79429,1.9158,0.28117,-0.51191,0.00288,-0.87791,-0.209,0.03327,-0.04715,0.11143,-1.49022,-0.6862,-0.20565,-0.2713,-0.59975,0.84682,1.3878,0.59059,1.81677,-0.25334,1.67329,0.66552,0.17645,1.18372,-0.08859,-1.28435,-0.86172,1.3081,-0.37759,1.3665,-0.00905,-1.42956,0.64385,-0.5459,-1.86246,-0.34774,1
-0.56704,0.4933,-0.01443,-1.25078,-0.59441,-1.69814,0.24766,0.59825,-1.5825,0.11539,-0.24569,-0.64777,0.61439,0.2377,-1.77421,-1.11639,0.29577,-1.59122,0.0956,-1.09808,2.12453,0.66159,0.19031,0.36631,-0.48779,-0.14516,-0.09818,-1.23979,4.38886,-3.39509,-0.48907,-1.22937,0.40796,-0.54467,-0.44095,1.16437,0.37395,2.33782,0.26027,-2.90289,0.39176,0.96869,-0.00112,-0.35577,0.349,0.47729,-0.2699,0.19823,1.33913,0.18389,0.48554,-0.00464,2.66166,1.62606,-0.85471,-0.6427,1.02151,0.55407,-0.0197,-1.49656,-1.40687,1.07149,0.04812,0.45685,0.11988,-1.08549,0.43851,0.42921,-0.78329,1.54981,0.34547,0.2289,-0.15655,0.15111,-0.17443,1.39514,0.5545,1.6816,-0.8414,0.51922,-0.13665,0.63885,-0.12379,0.94482,-0.70353,-0.21696,-0.89995,0.06577,-0.5357,1.57186,-0.18361,0.8692,-0.29867,-1.11192,-0.79719,1.66057,-0.14329,-0.25532,-1.97982,0.13857,1
-1.04415,-0.80269,2.4681,0.86831,0.58628,-0.10852,-0.33202,-0.20342,-0.64291,-1.62339,0.65078,-0.65445,0.62724,2.31272,0.05753,0.59788,0.5761,-0.41203,-0.01547,1.68652,0.17595,-0.78323,0.17717,0.389,1.96297,0.07198,-2.05624,0.95312,1.44342,-5.74494,-0.94429,-1.10731,-2.01721,-0.78547,-0.76419,0.65234,-0.14021,-1.79365,-0.24315,-0.90265,-0.64064,0.09547,-1.27366,-1.12075,-0.88745,-1.96701,-0.11738,-1.47165,-0.06356,1.33952,1.04121,0.93133,-0.42137,-0.38258,-1.14079,1.28191,0.37623,0.97135,0.32173,1.36526,-0.41918,0.75626,1.41959,-1.33716,-0.246,2.23642,0.34141,1.33259,-0.51841,-0.74374,-1.27396,-0.31234,-0.86632,1.73835,-0.81541,0.30812,-1.34263,-0.66129,0.41838,1.73504,-1.66294,1.09616,-1.1878,-0.53475,0.34082,-1.2476,-0.79691,-1.99273,-0.10499,0.96303,-1.13491,1.71706,-0.1964,0.49366,1.61928,-0.10266,-1.5011,-2.51172,1.20627,0.53973,1
